,text,sentimen,clean_teks
3406,"Pelayanan ramah, kamar dan fasilitas oke. Menu breakfast banyak varian 😊",positif,layan ramah kamar fasilitas oke menu breakfast varian
3407,"Tempat strategis, makanan enak, yang paling enak swimming poolnya ada air hangatnya jadi anak-anak suka.",positif,strategis makan enak enak swimming poolnya air hangat anakanak suka
3408,"Secara keseluruhan sih oke. tipe room: condotel. Modelnya studio apartement, jadi cocok buat yang bawa anak. Sayangnya dapat kamar yang kotor lantainya, berpasir dan debuan, kamar juga kurang kedap suara, saya bisa dengar suara dari kamar sebelah dengan cukup jelas. Breakfast: variannya banyak banget, seru jadi banyak pilihan. Untuk rasa makanannya biasa, kurang bumbu. Karyawan di restoran cukup tanggap. Kolam renang bersahabat untuk anak-anak. Karyawan hotel ramah dan cepat tanggap.",positif,sih oke tipe room condotel model studio apartement cocok bawa anak sayang kamar kotor lantai pasir debu kamar kedap suara dengar suara kamar belah breakfast varian banget seru pilih makan bumbu karyawan restoran tanggap kolam renang sahabat anakanak karyawan hotel ramah cepat tanggap
3409,Kamar nyaman dan sarapannya enak serta banyak pilihan.,positif,kamar nyaman sarap enak pilih
3410,"Liburan keluarga, makanan variasinya banyak eh lah kok pas nikahannya ex personel jakam 2 kamar melody tapi masih teratur semuanya dengan baik. Good.",positif,libur keluarga makan variasi eh pas nikah ex personel jakam kamar melody atur good
3411,Hotelnya bersih. cocok buat liburan keluarga. posisi di tengah kota. cuma sarapannya standar. yang lainnya good.,positif,hotel bersih cocok libur keluarga posisi kota sarap standar good
3412,Bookingnya merdeka twin karena penuh upgrade merdeka suite (kalau tidak tahahah) tanpa kena charge. Breakfastnya juga enak banget dan staffnya ramah. Thanks el royale dan Traveloka,positif,bookingnya merdeka twin penuh upgrade merdeka suite tahahah kena charge breakfastnya enak banget staffnya ramah thanks el royale traveloka
3413,"Lokasi hotel strategis, kamar nyaman dan bersih, walaupun agak sempit dan pengap karena atapnya pendek, tapi secara keseluruhan hotel ini menyenangkan. Kolam air hangatnya anak-anak suka, playgroundnya perlu ditambah mainan karena yang sekarang beberapa mainan sudah rusak, Sayang kami tidak sempat sarapan karena harus check-out sehabis subuh jadi tidak tahu rasa makanannya.",positif,lokasi hotel strategis kamar nyaman bersih sempit pengap atap pendek hotel senang kolam air hangat anakanak suka playgroundnya tambah main main rusak sayang sarap checkout habis subuh makan
3414,"Kamar persis difoto nyaman dan bersih, pengalaman yang sangat luar biasa. Pelayanan dan fasilitasnya juga oke. Rasanya sehari disana dirasa kurang puas hehehe.",positif,kamar persis foto nyaman bersih alam layan fasilitas oke hari sana rasa puas hehehe
3415,"Hotel yang sangat pas untuk liburan keluarga, ini kedua kalinya menginap di hotel ini, karena stafnya yang ramah, kolam renang air hangat, menu breakfast banyak, dan rasanya pun enak, proses check-in dan check-out sangat mudah.",positif,hotel pas libur keluarga kali inap hotel staf ramah kolam renang air hangat menu breakfast enak proses checkin checkout mudah
3416,"Awalnya sempat buat karena air panas di kamar tidak jalan. Melapor dan direspon sorenya dan diganti kamar baru. Oke lah servicenya. Malam tiba tetiba kamar mandi terkunci, laporan dan segera diperbaiki, overall service memang total. Kolam renang di panghegar memang seru. Hotel favorit kami",positif,air panas kamar jalan lapor direspon sore ganti kamar oke servicenya malam tetiba kamar mandi kunci lapor baik overall service total kolam renang panghegar seru hotel favorit
3417,Sangat memuaskan apalagi sarapannya lengkap menunya. Good.,positif,muas sarap lengkap menu good
3418,"Kamar luas, nyaman, lokasi di pusat kota mau kemana saja dekat, kolam renang luas, ada kolam air hangatnya, thanks.",positif,kamar luas nyaman lokasi pusat kota mana kolam renang luas kolam air hangat thanks
3419,Lokasi strategis di tengah kota mudah untuk kemana-mana.,positif,lokasi strategis kota mudah kemanamana
3420,Kamarnya bagus dan bersih tetapi untuk makanan kurang variatif. Untuk rasa makanan sudah oke tetapi hanya kurang bervariasi saja.,positif,kamar bagus bersih makan variatif makan oke variasi
3421,"Hotel yang ramah, mulai dari pelayanan, makanan, kebersihan, serta lokasi cukup memuaskan.",positif,hotel ramah layan makan bersih lokasi muas
3422,"Ada kolam renang air hangatnya, meski ramai banget, ya lumayan lah. Harusnya yang besar juga ada penghangatnya. Pas banget untuk cuaca mendung dingin di bandung waktu itu, sarapan lumayan komplet, tempat makan ada 2 tempat, jadi meski long weekend ambil sarapan tidak pake antri, rasanya lumayan enak. Check-in check-out cepat. Kamar lengkap dengan bathtub, lumayan murah lah. Puas kok menginap di El Royale Bandung.",positif,kolam renang air hangat ramai banget ya lumayan hangat pas banget cuaca mendung dingin bandung sarap lumayan komplet makan long weekend ambil sarap pake antri lumayan enak checkin checkout cepat kamar lengkap bathtub lumayan murah puas inap el royale bandung
3423,"Selalu menyenangkan, seperti di rumah sendiri.",positif,senang rumah
3424,"Menyenangkan, hotel yang bersih, dekat kemana-mana.",positif,senang hotel bersih kemanamana
3425,"Cool place, makanan enak, lokasi dekat braga.",positif,cool place makan enak lokasi braga
3426,"Hotelnya oke, nyaman and pegawai-pegawainya dari penyambutan hingga di dalam ramah and malantu. Parkiran luas and banyak jadi yang punya mobil jeep bs lah. Buat kami sarapan ya banyak variasi apalagi beef steak (enak buat kami heheh) tapi tidak tahu ya kalau hari biasa menunya variasi juga/disesuaikan. Yang paling okay juga tempat main anak di letam disediakan and lumayan. Thank you El Royale Hotel",positif,hotel oke nyaman and pegawaipegawainya sambut ramah and malantu parkir luas and mobil jeep bs sarap ya variasi beef steak enak heheh ya menu variasi jugadisesuaikan okay main anak letam sedia and lumayan thank you el royale hotel
3427,"Kamar deluxenya bagus, kolam renang juga besar, makanan breakfastnya juga enak, nyaman buat istirahat bareng keluarga.",positif,kamar deluxenya bagus kolam renang makan breakfastnya enak nyaman istirahat bareng keluarga
3428,"Mantap, pasti balik lagi.",positif,mantap
3429,Kami menginap mengambil 2 kamar yang connecting door. Semua bagus hanya pada saat check-in agak lama menunggu kesiapan kamar yang diminta. Sampai harus berulang kali menanyakan ke bagian front office ketersediaan kamar. Sedangkan kami membawa anak-anak kecil yang segera butuh tempat untuk beristirahat. Kolam renang hangat menyenangkan. Breakfast enak dan pilihan banyak. Pintu kamar mandi sempat ada yang macet mungkin perlu perbaikan/penggantian.,positif,inap ambil kamar connecting door bagus checkin tunggu kesiap kamar ulang kali front office sedia kamar bawa anakanak butuh istirahat kolam renang hangat senang breakfast enak pilih pintu kamar mandi macet perbaikanpenggantian
3430,"Lokasi strategis, bersih and nyaman, pelayanan sopan and ramah, recommended untuk liburan keluarga, kolam renang untuk anak-anak air hangat..",positif,lokasi strategis bersih and nyaman layan sopan and ramah recommended libur keluarga kolam renang anakanak air hangat
3431,"Fasilitas Hotel and pelayanannya sangat memuaskan, setiap berlibur ke Bandung El Royale adalah penginapan yang kami pilih bersama keluarga.",positif,fasilitas hotel and layan muas libur bandung el royale inap pilih keluarga
3432,"Hotel nyaman, Pelayanan check-in cepat, petugasnya ramah-ramah, hotelnya bersih, kamar cukup luas, kamar mandi bersih, Mau ke Braga Citi Walk tinggal jalan saja karena dekat dengan hotel.",positif,hotel nyaman layan checkin cepat tugas ramahramah hotel bersih kamar luas kamar mandi bersih braga cit walk tinggal jalan hotel
3433,"Lokasi strategis, masakannya istimewa.",positif,lokasi strategis masakan istimewa
3434,"Hotelnya bagus, bersih dan fasilitas lengkap, kolam renang ada dan makanannya juga enak, sesuai lah dengan harga dan budget segitu.",positif,hotel bagus bersih fasilitas lengkap kolam renang makan enak sesuai harga budget segitu
3435,"Berlokasi. di tengah kota, pelayanan bagus.",positif,lokasi kota layan bagus
3436,"Overall, hotelnya cukup baik. Bersih, cuma untuk merdeka wings benar-benar harus di renovasi agar tidak terkesan tua, persis dari jaman saya masih TK.",positif,overall hotel bersih merdeka wings benarbenar renovasi kes tua persis jaman tk
3437,"Hotelnya bagus kamarnya juga luas dan bersih, fasilitasnya oke, Kolam renangnya bagus cuma tidak tepat waktu pada saat check-in seharusnya jam 14.00 sudah bisa check-in. Ini kita harus menunggu sampai jam 15.00 baru bisa dengan alasan kamar masih dibersihkan.",positif,hotel bagus kamar luas bersih fasilitas oke kolam renang bagus checkin jam checkin tunggu jam alas kamar bersih
3438,Alhamdulillah menyenangkan menginap di el royal.,netral,alhamdulillah senang inap el royal
3439,"Hotel lama, tapi enak, letaknya strategis dekat barahan",positif,hotel enak letak strategis barah
3440,"Jaman kecil sering menginap disini waktu namanya masih Panghegar. Ini kali pertama bawa keluarga kesini lagi. Staf ramah-ramah. Kamar bersih, masih ada bathtub yang malan sudah jarang di hotel-hotel sekurang. Hairdryer di kamar tidak nyala. Kolam renang luas dan bersih, Hanya sayang kolam air hangat dalamnya 110 cuma jadi anak saya tidak bisa masuk kurang Terlalu dalam. Malam coba dinner di restoran tapi rasanya biasa saja dan harga mahal. Pesanan anak saya sempat terselip jadi dia keburu ngambek karena menunggu 1 jam. Dari 4 lift hanya 3 yang bisa dipakai, jadi kadang lama menunggu lift terutama untuk turun karena selalu penuh. Berhubung lokasi sebelah rel kereta, maka tiap kereta lewat lumayan berisik. Overall puas menginap di sini",positif,jaman inap nama panghegar kali bawa keluarga kesini staf ramahramah kamar bersih bathtub malan jarang hotelhotel kurang hairdryer kamar nyala kolam renang luas bersih sayang kolam air hangat dalam anak masuk malam coba dinner restoran harga mahal pesan anak selip keburu ngambek tunggu jam lift pakai kadang tunggu lift turun penuh hubung lokasi belah rel kereta kereta lumayan berisik overall puas inap
3441,"E-royale ada 2 tipe kamar, di condotel dan di wing lama. kamarnya beda, harganya beda. yang Condotel sudah direnovasi.",positif,eroyale tipe kamar condotel wing kamar beda harga beda condotel renovasi
3442,"Suasananya enak sih, kamarnya bersih. Cuma sistem keamanannya terlalu susah dan risih sama petugas hotelnya yang selalu melihat kalau kita lagi mundar mandir. Tapi overall bagus kok.",positif,suasana enak sih kamar bersih sistem aman susah risih tugas hotel mundar mandir overall bagus
3443,Kamar mandi airnya agak ke sumbat.,netral,kamar mandi air sumbat
3444,"Lokasi strategis, fasilitas lengkap dan menu sarapan pagi variatif dan enak.",positif,lokasi strategis fasilitas lengkap menu sarap pagi variatif enak
3445,"Hotel yang sangat nyaman, pegawai sangat ramah, akses ke wisata kuliner, mal alun-alun sangat dekat.",positif,hotel nyaman pegawai ramah akses wisata kuliner mal alunalun
3446,Kalau ke Bandung selalu menginap di el royal. Puas dengan pelayanan & di minggu pagi ada acara cooking with chef di swimming pool-nya.,positif,bandung inap el royal puas layan minggu pagi acara cooking with chef swimming poolnya
3447,"Lokasi straregis, pelayanan oke, overall oke.",positif,lokasi straregis layan oke overall oke
3448,"Kemarin ambil tipe condotel ros, kamar luas, sarapan enak. Hanya mungkin karena long weekend jadi crowded pas sarapan.",positif,kemarin ambil tipe condotel ros kamar luas sarap enak long weekend crowded pas sarap
3449,"Kamar berdebu di bagian jendela, menu makan variatif, overall oke dengan harga relatif murah",positif,kamar debu jendela menu makan variatif overall oke harga relatif murah
3450,"Enaklah buat harga dan kelas bintang 4, worth it! Tapi disayangkan saja, springbednya keras dibandingkan hotel-hotel kelas bawahan gitu. Untuk makanannya enak, tapi mungkin terlalu ketat ya penjagaannya. Maksudnya untuk anak saja dikenakan biaya tinggi, Padahal perorang juga tidak makan terlalu banyak.",positif,enak harga kelas bintang worth it sayang springbednya keras banding hotelhotel kelas bawah gitu makan enak ketat ya jaga maksud anak kena biaya orang makan
3451,"Untuk kolam renangnya oke untuk anak-anak, karena ada kolam renang air hangatnya. Lokasi dekat sekali dengan Braga, bisa sambil jalan kaki. Tapi yang mengecewakan dari sisi breakfast, nasi goreng kelembekan dan tidak ada rasa. Kemudian refill makanan lama, untuk crowd seramai weekend, seharusnya manajemmen hotel sudah antisipasi untuk menambahakan personel dan kualitas rasa makanan harus tetap dijaga.",positif,kolam renang oke anakanak kolam renang air hangat lokasi braga jalan kaki kecewa sisi breakfast nasi goreng lembek refill makan crowd serama weekend manajemmen hotel antisipasi menambahakan personel kualitas makan jaga
3452,Secara keseluruhan nyaman... pelayanan check-in dan chekout prosesnya cepat.,positif,nyaman layan checkin chekout proses cepat
3453,"salah satu hotel terbaik di kota bandung, dekat kemana-mana baik ke dago, braga, Asia afrika..petugas hotel ramah, parkiran aman karena berada di basement, kamar bersih meskipun perlengkapan dan peralatan elektronik yang berada di kamar sudah perlu diganti mengikuti perkembangan yang ada, menu sarapan banyak pilihan dan enak. recommanded lah pokoknya..",positif,salah hotel baik kota bandung kemanamana dago braga asia afrikapetugas hotel ramah parkir aman basement kamar bersih lengkap alat elektronik kamar ganti ikut kembang menu sarap pilih enak recommanded pokok
3454,"Nyaman untuk menginap bareng keluarga, kolam renang hangatnya cocok untuk anak-anak.",positif,nyaman inap bareng keluarga kolam renang hangat cocok anakanak
3455,"Lokasi strategis, makanan variatif. Yang masih tanda tanya kami adalah penghitungan breakfast untuk anak-anak. Anak kami 3, yang pertama usia 14 tahun dan 2 anak usia 8 tahun, menempati satu kamar. Kami booking 2 kamar. Yang anak-anak kena charge breakfast 75 ribu, dengan alasan satu kamar hanya untuk 2 orang. Overall pelayanan ramah.",positif,lokasi strategis makan variatif tanda hitung breakfast anakanak anak usia anak usia tempat kamar booking kamar anakanak kena charge breakfast ribu alas kamar orang overall layan ramah
3456,"Hotelnya bagus, kamar hotel luas, parkir mobil banyak slot, kolam renang juga bagus dan sarapan juga bervariasi. Pelayan hotel ramah dan sangat responsif. Lokasi hotel juga cukup strategis untuk keliling kota Bandung.",positif,hotel bagus kamar hotel luas parkir mobil slot kolam renang bagus sarap variasi layan hotel ramah responsif lokasi hotel strategis keliling kota bandung
3457,"Menyenangkan. Selalu menginap di el royale kalau ke bandung. Hanya libur imlek kali ini tidak di antisipasi tamunya, sehingga breakfast tidak dapat tempat. Jika tamu full biasanya memakai ballroom, tetapi kali ini tidak dibuka.",positif,senang inap el royale bandung libur imlek kali antisipasi tamu breakfast tamu full pakai ballroom kali buka
3458,"Hotel yang menyenangkan. Bersih, tenang meski dekat rel kereta, makanan nya top markotop, delicious.",positif,hotel senang bersih tenang rel kereta makan nya top markotop delicious
3459,Sarapannya enak dan pelayanannya ok,positif,sarap enak layan ok
3460,Lokasi dekat denga gereja Katedral dan posisi ada di dalam kota.,netral,lokasi denga gereja katedral posisi kota
3461,"Kamarnya luas, makanan enak dan harga juga terjangkau.",positif,kamar luas makan enak harga jangkau
3462,Salah satu hotel bintang 4 terbaik yang pernah saya tinggali. Namun pada beberapa furniture terdapat debu.,positif,salah hotel bintang baik tinggal furniture debu
3463,"Kamarnya luas, cocok untuk keluarga.",positif,kamar luas cocok keluarga
3464,"Kamar luas, namun tempat tidur kurang nyaman",negatif,kamar luas tidur nyaman
3465,"Nyaman, swimming pool luas dan dekat pusat kota.",positif,nyaman swimming pool luas pusat kota
3466,"Ini adalah kedua kalinya kami menginap. Resepsionis selalu sigap melayani sehingga tidak perlu waktu lama untuk check in.kami menginap di jenis yang sama dengan yang lalu,condotel room, kamar masih ada bau badan2 sepertinya baru dibersihkan tapi lama2 hilang dan ada bunyi cetek2 di dekat panel listrik,sepertinya ini ada hubungannya dengan kamar sebelah juga tapi overall kami sekeluarga puas apalagi kolam renang ada yang hangat dan besar.ada swalayan kecil jadi tidak perlu keluar2 hotel,main futsal juga bisa",positif,kali inap resepsionis sigap layan check inkami inap jenis lalucondotel room kamar bau badan bersih hilang bunyi cetek panel listriksepertinya hubung kamar belah overall keluarga puas kolam renang hangat besarada swalayan hotelmain futsal
3467,Lokasi cukup strategis. Pelayanan baik. Kebersihan dan sarana cukup baik.,positif,lokasi strategis layan bersih sarana
3468,"Nilai plus : loby sangat bagus, makanan fariativ, kamar mandi sudah ada bathub meskipun pilih type kamar paling rendah, keamanan sangat sangat aman. Nilai minus : bantal hanya disediakan 2buah (tidak ada bantal tambahan, biasanya kalau di hotel lain ada di lemari), berisik dekat pinggir jalan dan palang rel kereta jadi terganggu.",positif,nilai plus loby bagus makan fariativ kamar mandi bathub pilih type kamar rendah aman aman nilai minus bantal sedia buah bantal tambah hotel lemari berisik pinggir jalan palang rel kereta ganggu
3469,"Semua ok tp untuk kamar hotel saya tidak bisa tidur nyenyak, suara kereta api dari malam sampai subuh terdengar sekali.",positif,ok tp kamar hotel tidur nyenyak suara kereta api malam subuh dengar
3470,"Lokasi strategis, kamar dan toilet hotel bersih sesuai dengan keterangan.",positif,lokasi strategis kamar toilet hotel bersih sesuai terang
3471,Nyaman bersih dan tenang juga makanannya enak,positif,nyaman bersih tenang makan enak
3472,"Hotelnya sudah ganti manajemen, tapi service-nya tetep ok kok.",positif,hotel ganti manajemen servicenya tetep ok
3473,"Nyaman untuk liburan keluarga. Kolam renang air hangatnya anak-anak paling suka. Sarapannya banyak variannya, enak pula.",positif,nyaman libur keluarga kolam renang air hangat anakanak suka sarap varian enak
3474,"dinding tidak soundproof, suara luar & samping terdengar, agak terganggu sedikit.",netral,dinding soundproof suara samping dengar ganggu
3475,Bagus sekali tapi air suka mampet,positif,bagus air suka mampet
3476,"Pelayanan ramah, semuanya baik",positif,layan ramah
3477,"Kamar condotel bersih, pelayanan ok.",positif,kamar condotel bersih layan ok
3478,"Bagus, nyaman, makanannya banyak.",positif,bagus nyaman makan
3479,"Semua fasilitas baik, dan lokasi dipusat kota",positif,fasilitas lokasi pusat kota
3480,"Pelayanan, kondisi kamar, ragam dan rasa makanan sangat baik",positif,layan kondisi kamar ragam makan
3481,"Sangat memuaskan,tempat ,makan dan pelayanan",positif,memuaskantempat makan layan
3482,"Hotel lama, tapi tetap menyenangkan. Kamar luas, ammenities lengkap.",positif,hotel senang kamar luas ammenities lengkap
3483,Ruang hotel tidak wangi toilet kurang bersih makanan banyak pilihannya enak.,positif,ruang hotel wangi toilet bersih makan pilih enak
3484,"Untuk makanan ok, tempat ok dan lokasi hotel ok, semua sesuai dengan harganya, kalau mau yang lebih ya cari yang lebih mahalm, kolam renang nya mantap",positif,makan ok ok lokasi hotel ok sesuai harga ya cari mahalm kolam renang nya mantap
3485,"Kamarnya luas, kolam renang oke, menu breakfast bervariasi akan tetapi karena pada saat saya menginap di hari libur sabtu jadi sangat hectic sekali dan penuh. Keamanan perlu di tingkatkan, karena ada kejadian dmn pada saat breakfast ada orang yang memanfaatkan situasi untuk mencuri tas pengunjung yang sedang menikmati sarapan. Overall cukup memuaskan menginap disana",positif,kamar luas kolam renang oke menu breakfast variasi inap libur sabtu hectic penuh aman tingkat jadi dmn breakfast orang manfaat situasi curi tas unjung nikmat sarap overall muas inap sana
3486,"Hotelnya besar tapi dari luar sudah keliatan gedung lama, kebersihan lantai kamar kurang, namun ukuran kamar besar dan ada bathub, makanan enak-enak banyak variasi namun harus sarapan lebih pagi sebelum jam 9 karena refill nya lama dan terkesan tidak akan menambah jika maknannya sudah habis, kolam renang besar ada yang air hangat juga. Overall puas menginap disini",positif,hotel liat gedung bersih lantai kamar ukur kamar bathub makan enakenak variasi sarap pagi jam refill nya kes tambah maknannya habis kolam renang air hangat overall puas inap
3487,Kenyamanan dan pelayanan ramah,positif,nyaman layan ramah
3488,Tempat nya nyaman. Deket kemana-mana dan kolam renangnya ada air hangat nya cocok buat anak-anak,positif,nya nyaman deket kemanamana kolam renang air hangat nya cocok anakanak
3489,Long weekend idul adha kemarin pilihan saya menginap di Bandung jatuh pada El Royale Hotel. Lokasi hotel sangat strategis dekat dengan wisata sekitar jalan braga dan asia afrika. Dekat juga dengan katedral kota bandung. Interior hotel sangat bagus dan menu sarapan breakfast cukup beragam. Saya dan keluarga sangat senang menginap di El Royale Hotel Bandung,positif,long weekend idul adha kemarin pilih inap bandung jatuh el royale hotel lokasi hotel strategis wisata jalan braga asia afrika katedral kota bandung interior hotel bagus menu sarap breakfast agam keluarga senang inap el royale hotel bandung
3490,Nice hotel. Deket untuk kemana-mana. Nyaman,positif,nice hotel deket kemanamana nyaman
3491,Breakfast variatif&Pelayanan memuaskan. Parkiran lebar karena ada basement,positif,breakfast variatifpelayanan muas parkir lebar basement
3492,Nyaman dan ramah. Puas deh.,positif,nyaman ramah puas deh
3493,"Lokasi yang bagus di tengah tengah kota Bandung, mudah untuk kemana-mana.",positif,lokasi bagus kota bandung mudah kemanamana
3494,"Hotel bersih, lokasi strategis, nyaman menginap di eL Royale Hotel..",positif,hotel bersih lokasi strategis nyaman inap el royale hotel
3495,Cukup bagus sangat cocok buat keluarga kolam renangnya bersih sangat disenangin anak2 dan room nya bersih dan besar untuk breakfast sangat memuaskan...sebanyak apa pun tamu pengunjungnya saat sarapan tetap cukup menunya nga ada kata habis dan macam2 menunya oke punya.,positif,bagus cocok keluarga kolam renang bersih senangin anak room nya bersih breakfast memuaskansebanyak tamu unjung sarap menu nga habis menu oke
3496,"cocok buat keluarga, terletak di pusat kota, kemana-mana cukup dengan berjalan kaki saja bersama keluarga sudah bisa mengunjungi berbagai macam tempat termasuk wisata kuliner di pusat kota Bandung.",positif,cocok keluarga letak pusat kota kemanamana jalan kaki keluarga unjung wisata kuliner pusat kota bandung
3497,Memuaskan tinggal di hotel ini. Memiliki Lobby luas dan nyaman. Ukuran kolam renang yang besar dan ada kolam kecil air hangat untuk berendam. Di lantai dasar ada apotik century dan alfa mart express. jadi tidak sulit untuk membeli keperluan. Semua staff sangat ramah dan juga sangat membantu. saya membawa makanan matang (krn tertulis menyediakan microwave tyt tidak ada) tapi room service bisa melayani jasa menghangatkan makanan. Kondisi kamar cukup bersih dan kasur sangat nyaman. Wifi cukup kuat tapi hanya bisa koneksi full di 2 gadget. Channel di TV juga cukup lengkap dan Air hangat dikamar mandi tidak dibatasi. Hanya saja view dari kamar 1060 kurang baik karena agak tertutup bangunan lain dan dasar lampu di foyer sempat terjatuh pada pukul 1 malam. Sempat kaget tapi alhamdulillah tidak terjadi apa-apa. Hanya penomoran lantai yang sedikit membingungkan. Karena saya berada di lantai 10 tapi jika menggunakan lift lain lantainya menjadi 8C.,positif,muas tinggal hotel milik lobby luas nyaman ukur kolam renang kolam air hangat rendam lantai dasar apotik century alfa mart express sulit beli perlu staff ramah bantu bawa makan matang krn tulis sedia microwave tyt room service layan jasa hangat makan kondisi kamar bersih kasur nyaman wifi kuat koneksi full gadget channel tv lengkap air hangat kamar mandi batas view kamar tutup bangun dasar lampu foyer jatuh malam kaget alhamdulillah apaapa nomor lantai bingung lantai lift lantai c
3498,"Overall oke, untuk breakfast-nya bervariasi dan enak.",positif,overall oke breakfastnya variasi enak
3499,Cukup bagus semuanya bisa sebagai pilihan singgah Di Bandung,positif,bagus pilih singgah bandung
3500,"Kamar oke cuma kemarin closednya rada error jadi manual g bisa dpencet2 g fungsi. Makanannya banyak varian dan enak-enak, ke mall BIP tinggal jalan kaki lumayan buat olahraga, ga jauh, ga deket juga.",positif,kamar oke kemarin closednya rada error manual g dpencet g fungsi makan varian enakenak mall bip tinggal jalan kaki lumayan olahraga ga ga deket
3501,Pelayanan yang ramah dan kamar cukup nyaman.,positif,layan ramah kamar nyaman
3502,Mantab...nyaman untuk liburan..lokasi strategis untuk jalan-jalan di kota Bandung,netral,mantabnyaman liburanlokasi strategis jalanjalan kota bandung
3503,tempat strategis banget breakfast juara deh enak makanannya...btw promo lagi d...pgn balik lg.kesana,positif,strategis banget breakfast juara deh enak makanannyabtw promo dpgn lgkesana
3504,Lokasi dekat jalan Braga dan bisa jalan kaki ke jalan asia afrika yang banyak pilihan kuliner malam.,positif,lokasi jalan braga jalan kaki jalan asia afrika pilih kuliner malam
3505,Hotel nyaman pelayanan ramah dan strategis,positif,hotel nyaman layan ramah strategis
3506,Hotel yang nyaman untuk liburan keluarga.,positif,hotel nyaman libur keluarga
3507,Pelayannya ramah dan cepat tanggap sarapannya enak anak saya (usia 15 bulan) nyenyak tidur disini.,positif,layan ramah cepat tanggap sarap enak anak usia nyenyak tidur
3508,"Bersih, murah dan kamarnya gede",positif,bersih murah kamar gede
3509,"Nyaman dan makanannya enak, thanks grand royal panghegar",positif,nyaman makan enak thanks grand royal panghegar
3510,Menyenangkan ... dengan fasilitas yang lengkap dan kebersihannya bagus,positif,senang fasilitas lengkap bersih bagus
3511,Anak anak sudah jatuh cinta dengan hotel ini,positif,anak anak jatuh cinta hotel
3512,"Lokasi hotel strategis tempatnya nyaman & bersih,mau jalan-jalan transport mudah pokoknya grand royal mantap",positif,lokasi hotel strategis tempat nyaman bersihmau jalanjalan transport mudah pokok grand royal mantap
3513,"Untuk makanan terlalu standar dengan rasa yang kurang menurt saya, terutama buat wifi kamar. Lemot banget, sampai saya pake paket dan tidak nyentuh wifi samaskali..",negatif,makan standar menurt wifi kamar lot banget pake paket nyentuh wifi samaskali
3514,"Nyaman, di pusat kota and breakfastnya enak 😊",positif,nyaman pusat kota and breakfastnya enak
3515,"Walau yang kamar pertama, kunci dol tidak bisa dibuka dan lampu gelap gulita, tp akhirnya pindah kamar yang view-nya nyerempet kolam renang.",positif,kamar kunci dol buka lampu gelap gulita tp pindah kamar viewnya nyerempet kolam renang
3516,Lokasi sangat strategis dan mudah dicapai,positif,lokasi strategis mudah capai
3517,Condotel luas dan bersih Dengan jendela kamar menghadap kolam renang.,positif,condotel luas bersih jendela kamar hadap kolam renang
3518,"Nyaman buat keluarga, kamar luas dan bersih.",positif,nyaman keluarga kamar luas bersih
3519,Hotel bangunan lama tapi masih representatif,positif,hotel bangun representatif
3520,"Lokasi strategis ditengah kota, nyaman , bersih dan ramah. Untuk buffee breakfast masih kurang variasi menunya dan saya binggung ada lalat terbang diarea meja saya",positif,lokasi strategis tengah kota nyaman bersih ramah buffee breakfast variasi menu binggung lalat terbang area meja
3521,"Baik dan nyaman, pelayanannya ramah.",positif,nyaman layan ramah
3522,"Mendapat kamar di gedung lama namun kamar bersih dan nyaman, hanya untuk closet di kamar mandi karena sudah lama jadi terlihat kotor. Anak senaaang bermain di kolam anak dan bath up kamar.",positif,kamar gedung kamar bersih nyaman closet kamar mandi kotor anak senaaang main kolam anak bath up kamar
3523,"Hotel yang bagus, hanya perlu menyegarkan interior karena sudah tua, breakfast sesuai standar hotel berkualitas, hospitality layak diberi jempol.",positif,hotel bagus segar interior tua breakfast sesuai standar hotel kualitas hospitality layak jempol
3524,"Sudah beberapa kali menginap di Condotel, dan selalu menyenangkan. Walaupun sempat menunggu waktu check in. Tapi kamar yang di dapat sesuai dengan pesanan",positif,kali inap condotel senang tunggu check in kamar sesuai pesan
3525,"Pelayanan staff yang ramah, kolam renang besar, kekurangan lift yang hanya berfungsi 3, kalau pas check out jd lama antri nya",positif,layan staff ramah kolam renang kurang lift fungsi pas check out jd antri nya
3526,"Lokasi bagus, prasmanan enak. Interior kuno. Harus mempertahankan lebih banyak.",positif,lokasi bagus prasmanan enak interior kuno tahan
3527,Hotel staf ini sudah banyak berkembang sejak tahun lalu. Staf lebih ramah & lebih infomatif. Karena fasilitas hotel masih sama. Kerja bagus hotel el royLe. Kami senang tinggal di sini.,positif,hotel staf kembang staf ramah infomatif fasilitas hotel kerja bagus hotel el royle senang tinggal
3528,"Hotel itu sendiri bagus, lokasi juga bagus di kota, Anda dapat mencapai Braga dalam jarak berjalan kaki. Tapi kami bahkan tidak bisa mendapatkan air mineral tambahan dan ruangannya sedikit berdebu.",positif,hotel bagus lokasi bagus kota capai braga jarak jalan kaki air mineral tambah ruang debu
3529,"Bagus 👍, kedua kalinya menginap disini, dan bagus sesuai yang saya kira.",positif,bagus kali inap bagus sesuai
3530,Sangat memuaskan dengan pelayanan dan kamarnya. Para staf sangat membantu dan ramah. Untuk sarapan rasanya oke tapi menunya hampir sama selama saya menginap. Layak liburan Anda bersama keluarga.,positif,muas layan kamar staf bantu ramah sarap oke menu inap layak libur keluarga
